"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"196","B73",545,-5.3205356277162,7.12634715881649,0.81212263027023,11.3653622403925,-18.2614537514896,"HN","mid"
"197","B73",546,-5.35394099866925,7.14362370885595,0.81409147587196,11.3587940223436,-18.317129825912,"HN","mid"
"198","B73",547,-5.38367503422418,7.15368835885681,0.815238449187924,11.3618045183319,-18.3806976646105,"HN","mid"
"199","B73",548,-5.41072938867143,7.15777524007595,0.815704192527579,11.3462123956215,-18.4331160172799,"HN","mid"
"200","B73",549,-5.43184756278631,7.16222938054275,0.816211788942807,11.3119991572991,-18.4581049596216,"HN","mid"
"201","B73",550,-5.45745227620452,7.16915720995517,0.817001288376261,11.3309360543582,-18.4644973054096,"HN","mid"
"202","B73",551,-5.48510374102057,7.17990513745489,0.818226128389875,11.3450700483472,-18.4828397407051,"HN","mid"
"203","B73",552,-5.50525400867738,7.18548697656322,0.818862237992366,11.3248479564507,-18.5244984032571,"HN","mid"
"204","B73",553,-5.51728004401586,7.18665498079852,0.818995344428328,11.3149249280819,-18.5882213846888,"HN","mid"
"205","B73",554,-5.52319300428209,7.1998089169026,0.820494374569462,11.351171290903,-18.6211556285037,"HN","mid"
"206","B73",555,-5.52325704399706,7.20882535172562,0.821521892679504,11.3738677051054,-18.6219843833522,"HN","mid"
"207","B73",556,-5.51918897384413,7.21260277946349,0.821952370522046,11.380287388748,-18.614548751353,"HN","mid"
"208","B73",557,-5.5017850464342,7.2167822072565,0.822428660522609,11.4230587744823,-18.6305005430501,"HN","mid"
"209","B73",558,-5.48242651505489,7.22309211911507,0.823147741715421,11.4757831450779,-18.6263810618591,"HN","mid"
"210","B73",559,-5.47348471972425,7.23136934430784,0.824091019069876,11.4885219406565,-18.6428817708901,"HN","mid"
"211","B73",560,-5.4576070298377,7.23717860294679,0.824753045533174,11.5011808823569,-18.6647441520314,"HN","mid"
"212","B73",561,-5.42565586244558,7.24101662544514,0.825190428789551,11.5761245121002,-18.6035938236613,"HN","mid"
"213","B73",562,-5.39382671953425,7.24921853744068,0.826125123408633,11.6321492059593,-18.6054384312492,"HN","mid"
"214","B73",563,-5.36731564687979,7.2586375569469,0.827198520301247,11.6708392496902,-18.640953982628,"HN","mid"
"215","B73",564,-5.33942199112916,7.26462548162582,0.827880907649453,11.7351109992502,-18.6446379434618,"HN","mid"
"216","B73",565,-5.30106198511304,7.26490258264592,0.827912486241441,11.7974123349957,-18.6518975321733,"HN","mid"
